연번,통계사업번호,사업형태,사업분야,사업명_국문,사업명_영문,대상국가,대상지역,전체사업시작,전체사업종료,총약정액,화폐단위,수혜자_전체,수혜자_직접,수혜자_간접,사업요약,사업목표,사업목적,기관,현지파트너,주요실적,문제점대응_전체,문제점대응_문제점,문제점대응_대응현황
562,2019080100110,인도적지원협력사업,긴급구호,우간다 거주 남수단 난민 아동의 학교급식 및 식수지원사업,Supporting School Meals and Drinking Water Project for the South Sudan refugee Children Living in Uganda,우간다,모요,2018-08-13,2018-12-31,,,,,,,,,,,,,,
572,2019080103295,인도적지원협력사업,공공행정,우간다 차카2 난민정착촌내 SGBV 위험경감 및 난민 여성 역량 증진 사업,Good Neighbors SGBV response and prevention project for DRC refugees in Uganda,우간다,키에게과 주,2019-03-01,2019-12-31,,,,,,,,,,,,,,
575,2019080103298,인도적지원협력사업,보건의료,우간다 거주 남수단 난민 아동의 학교급식 및 마을 식수 지원 사업,South Sudan Refugee Children School Feeding and Village Water Supply in Uganda,우간다,모요,2019-03-01,2019-12-31,,,,,,,,,,,,,,
579,2019080103303,인도적지원협력사업,공공행정,우간다 모요구 내 아동보호체계 및 회복력 구축을 통해 호스트커뮤니티 및 남수단 난민 아동의 복지 향상,"Building Resilience and Protection Systems for the Well-being of Children and Youth in Refugee and Host Communities in Moyo District, Uganda in 2019. Response to Refugee Crisis as a result of conflict in South Sudan Child Protection and Gender Based Violence Prevention and Response",우간다,모요,2019-03-01,2019-12-31,,,,,,,,,,,,,,
617,2020070101281,민관협력사업,보건의료,"우간다, 스리랑카 지역기반 최취약계층(도시빈민, 소수민족) 코로나19 대응 역량강화사업(2020/1,094백만원/굿네이버스)","Strengthening COVID-19 response capacity of most vulnerable population(urban, ethnic minority) in Unganda and Sri Lanka",우간다,캄팔라,2020-08-14,2020-12-31,,,,,,,,,,,,,,
641,2020070103252,민관협력사업,교육,우간다 시각장애학생 점자교과서 지원 및 제작역량강화 사업(2020-2022/392백만원/실로암인터내셔널),Project for Braille Textbook Support and Empowering Braille Specialists in Uganda,우간다 ,캄팔라(Kampala) 외 맹학교 및 통합학교 소재 지역,2020-04-06,2022-12-31,392000000.0,원,,·직접수혜자 (총 1168명)  - 점자교과서 보급 시각장애학생 수 1163명  - 점역·교정 전문인력 양성교육 참여자 수 5명,·간접수혜자 (총 20명)  - 점자도서제작교육 참여 자원봉사자 20명,우간다의 공립학교는 공식적으로 무상이지만 교육 예산 부족으로 대부분의 학생들이 직접 학비를 부담하며 교과서 교구 등의 필수 품목을 사비로 부담함.장애학생에 대한 교육의 양적·질적 수준은 더욱 열악함. 교과서는 교육의 질을 향상시키는 핵심적인 요소이지만 우간다 정부는 시각장애학생에게 점자교과서를 지원하지 않고 있음. 우간다의 맹학교가 외부 후원받은 점자교과서를 소량 보유하고 있으나 책이 낡고 훼손되어 실상 교과서 없이 수업하는 실정임.이에 현지 NGO인 우간다시각장애인협회(UNAB)와 협력하여 우간다 최초의 점자출판시설 구축 점역·교정사 자격 제도 운영을 통한 전문 점역·교정사 양성 점자교과서 및 촉각자료 제작 및 배포 등을 통해 우간다 시각장애학생들의 학습편의 증진 지식 정보 격차해소와 학업 능력을 향상하도록 하는 한편 추후 현지 자체적으로 점자교과서를 제작·보급할 수 있는 지속가능한 환경과 시스템을 구축함.,,,실로암 인터내셔널,우간다시각장애인협회(Uganda National Association of the Blind UNAB),1) 점자출판 인프라 구축 2) 점역교정사 자격제도 정립 3) 점자교과서 및 촉각 학습자료 제작·보급 4) 코로나19 대응활동,1) 코로나19 확산으로 사업 착수 및 운영 지연  문제점 2020년 코로나19의 대유행으로 우간다 정부는 국경 폐쇄 이동 금지 휴교 정부 인력 재택근무 등 강도 높은 제한조치를 시행함. 이로 인해 사업 착수가 지연되고 현지 협력기관인 UNAB는 일시적으로 휴관하였으며 오프라인 프로그램이 보류되는 등 운영 전반에 어려움이 있었음.  대응 현황 UNAB의 휴관기간 동안 UNAB 회장 사무국장 등 사업 책임자들과 사업 인력 채용 점자도서 제작교육 등 사업을 위해 활발히 소통하며 정부 제한조치가 해제되는 대로 사업을 수행할 수 있도록 대비함. 기존 이메일 왓츠앱 메신저 등을 통한 소통과 더불어 ZOOM을 통한 수시 회의를 진행하며 현지 상황 변화를 모니터링하고 사업에 미치는 영향 및 대응방안을 논의함. 정부의 공식적인 지침 등은 물론 코디네이터를 통해 전달받는 소식에도 귀를 기울이며 특이 사항 발생에 대비함. 현지 코로나19 상황을 면밀히 주시하면서 코이카 본부 및 지부와 소통하여 사업계획 및 예산을 상황에 맞게 탄력성 있게 변경하고 운영함. 2) 현지 휴교 장기화  문제점 우간다 정부의 코로나19 대응 조치로 2020년 4월부터 2022년 1월 9일까지 휴교령이 내려짐. 이에 따라 1차년도에 제작하여 2021년 4월에 우간다에 도착한 점자교과서는 전국 학교에 배포만 되고 학생들은 활용할 수 없었음.  대응 현황 학교에 보급된 점자교과서들이 분실되지 않도록 현지 파트너기관인 UNAB와 협력하여 모니터링하고 학교들과 소통하면서 개학 후 점자교과서 활용에 대한 중요성을 주지시킴. 2022년 1월 10일 현지 휴교령이 해제됨에 따라 학생들이 배포된 교과서를 바로 수업에 활용할 수 있도록 조치함. 교과서를 보급 받은 학생을 대상으로 학업만족도 평가 성적 향상 비율 조사 등 성과 측정을 진행하고 있음. 3) 현지 방문교육 및 방문 모니터링 지연  문제점 코로나19로 인해 실로암 국내 인력의 우간다 방문이 불가능해지면서 계획했던 전문 강사 대면 교육과 현지 방문 모니터링을 2차년도까지 실시하지 못함.  대응현황 점자도서제작교육은 화상교육프로그램 ZOOM을 활용하여 온라인으로 진행함. 1차년도부터 현재까지 약 77차례 온라인 교육을 실시하였으며 대면교육이 필요한 특정 내용의 경우 코로나19 상황 개선 후 2022년 6월 현지에 방문하여 실시함. 모니터링은 현장방문 대신 이메일 왓츠앱 메신저 ZOOM 등 다양한 채널을 통해 진행함. 나아가 현지 코디네이터가 월보고서·회계서류 수령 및 검토 등 사업의 일상적인 관리업무를 비롯하여 파트너기관 및 시각장애학생 재학학교에 정기 및 상시 방문하는 등 업무 범위를 확대함으로써 현지 방문 모니터링을 효과적으로 대체함. 코로나 상황이 완화됨에 따라 2022년 6월 현지 점역교정사 역량강화교육과 모니터링을 진행함. 2년간 ZOOM으로만 교육하였던 내용들을 점검하면서 추후 ZOOM을 통한 교육과 현장방문교육에서 가르쳐야할 내용들을 확인하고 교육 내용을 재정리함.,,
643,2020070103331,민관협력사업,기술환경에너지,우간다 굴루주 파티코 지역 식수위생 개선 사업(2020-2022/878백만원/굿파트너즈),"Water, Sanitation, and Hygiene(WASH) Project in Patiko subcounty, Gulu, Uganda",우간다,"글루,글루",2020-03-17,2022-12-31,,,,,,,,,,,,,,
677,2020080100494,인도적지원협력사업,보건의료,우간다북부 OBONGI 지역 난민촌 내 남수단난민 교육 및 마을식수지원사업,South Sudan Refugee Education support and Water supply Project in Palorinya Settlement Refugee Village of northern Uganda,우간다,오본기,2020-04-06,2021-12-31,,,,,,,,,,,,,,
703,2021070100366,민관협력사업,농림수산,"우간다 쿠미지역 농가 소득증대를 위한 신재생 에너지 활용 농업 사업(2021-2023/1,370백만원/기아대책, 인하대학교 산학협력단)","Agricultural Project Utilizing Renewable Energy for Farm Income Generation in Kumi, Uganda",우간다,,2021-04-07,2023-12-31,,,,,,,,,,,,,,
712,2021070100443,민관협력사업,보건의료,"우간다 분디부죠, 은토로코 지역 보건시스템 강화를 통한 모자보건 증진사업(2021-2023/1,997백만원/세이브더칠드런/2단계)","Uganda Health System Strengthening Project - focus on Maternal, Newborn, Child and Adolescent Health in Bundibugyo & Ntoroko, Uganda",우간다,,2021-02-15,2023-12-31,,,,,,,,,,,,,,
716,2021070100465,민관협력사업,보건의료,우간다 중력식 정수기를 이용한 안전한 식수 공급 사업,Clean Water Supply and Reduction of Waterborne disease through Gravity based Household Water Treatment (HWT) system in Uganda,우간다,,2021-12-23,2023-12-22,,,,,,,,,,,,,,
744,2021070100898,민관협력사업,농림수산,우간다 미티야나 지역 농촌여성의 경제력 향상을 위한 채소 재배 역량 강화 사업(2021-2023/267백만원),Mityana women's financial improvement through vegetable farming in Uganda,우간다,,2021-10-15,2023-07-31,,,,,,,,,,,,,,
748,2021070100954,민관협력사업,교육,우간다 굴루주 가축은행을 통한 지역 농가 생계 역량 강화 사업(2021-2023/255백만원),"Income generating program thru bank of livestock for patiko, gulu, Uganda",우간다,,2021-11-12,2023-08-31,,,,,,,,,,,,,,
763,2021070102760,민관협력사업,공공행정,우간다 농촌가치사슬 구축을 위한 사료 공장 중심의 곡물 경작 및 양돈 계열화 사업,Grain cultivation and pig farming integration project centered on feed factories to establish a rural value chain in Uganda,우간다,,2021-12-23,2026-12-22,,,,,,,,,,,,,,
771,2021080101894,인도적지원협력사업,기타,우간다 임베피 난민 및 수용공동체의 사회경제적 회복력 강화 사업,Uganda Boosting Economic-Socio resilience using Triple nexus for refugees and host community in Terego district,우간다,,2021-07-01,2023-12-31,,,,,,,,,,,,,,
772,2021080101901,인도적지원협력사업,보건의료,"우간다 치쿠베, 체계과 지역 난민 및 호스트 커뮤니티 영유아와 임산부 대상 통합 영양 증진 사업","Provision of gender-responsive and age appropriate IYCF-E for refugee and host pregnant lactating women and children under 2 in Kyaka 2 and Kyangwali settlements, Uganda",우간다,,2021-07-13,2023-12-31,,,,,,,,,,,,,,
775,2021080102858,인도적지원협력사업,보건의료,우간다 라이노 및 임베피 난민 정착촌 교육 환경에서의 WASH 개선 사업,"WASH in School Project in Rhino and Imvepi Refugee Settlement, Northwestern Uganda",우간다,,2021-12-28,2024-12-31,,,,,,,,,,,,,,
